,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1974.0,11.0,26.0,0.0,61.0
1,1968.0,3.0,32.0,1.0,64.0
2,1966.0,1.0,34.0,2.0,65.0
3,1965.0,0.0,35.0,3.0,65.0
4,1965.0,0.0,35.0,4.0,65.0
5,1965.0,0.0,35.0,5.0,65.0
6,1965.0,0.0,35.0,6.0,65.0
7,1965.0,0.0,35.0,7.0,65.0
8,1965.0,0.0,35.0,8.0,65.0
9,1965.0,0.0,35.0,9.0,65.0
10,1965.0,0.0,35.0,10.0,65.0
11,1965.0,0.0,35.0,11.0,65.0
12,1965.0,0.0,35.0,12.0,65.0
13,1965.0,0.0,35.0,13.0,65.0
14,1965.0,0.0,35.0,14.0,65.0
15,1965.0,0.0,35.0,15.0,65.0
16,1965.0,0.0,35.0,16.0,65.0
17,1965.0,0.0,35.0,17.0,65.0
18,1965.0,0.0,35.0,18.0,65.0
19,1965.0,0.0,35.0,19.0,65.0
20,1965.0,0.0,35.0,20.0,65.0
